fold_key	exact_spellings	readability_state	confidence	proposed_destination_if_A	meaning_and_taxonomy_question_if_B	understandable_vs_missing_if_C	opacity_reason_if_D	reasoning
cockball_l	CockBall_L	B	Medium		referent word(s): ['cock'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cockball_r	CockBall_R	B	Medium		referent word(s): ['cock'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cockballs	CockBalls	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cockbigballsa	CockBigBallsA	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cockbigballsb	CockBigBallsB	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cockbighead	CockBigHead	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cockfat	CockFat	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cockflat	CockFlat	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cockh	CockH	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cocklittlehead	CockLittleHead	B	Medium		referent word(s): ['cock', 'head'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cockpointy	CockPointy	B	Medium		referent word(s): ['cock'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cockring-tighten	cockring-tighten	B	Medium		referent word(s): ['cock', 'ring'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cockring.scrotum	CockRing.Scrotum	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cockring.tip	CockRing.Tip	B	Medium		referent word(s): ['cock', 'ring'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cockroot	CockRoot	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cockshortcock	CockShortCock	B	Medium		referent word(s): ['cock'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cockskinback	CockSkinBack	B	Medium		referent word(s): ['cock'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cockskinforward	CockSkinForward	B	Medium		referent word(s): ['cock'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cockthick	CockThick	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cockthickbase	CockThickBase	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cockthickend	CockThickEnd	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cockthrob	cockthrob	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
cockv	CockV	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cockveinspulsate	CockVeinsPulsate	C	Low			recognizable word(s) present: ['anatomy', 'unknown'] -- a referent word is present but is outweighed by unclear fragments -- context-dependent		a referent word is present but is outweighed by unclear fragments -- context-dependent
cockwide	CockWide	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar back	collar back	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar bone detail	Collar bone Detail	B	Medium		referent word(s): ['collar'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
collar front left	collar front left	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar front right	collar front right	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar left 01	collar left 01	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar left 02	collar left 02	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar left 1	collar left 1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar left 2	collar left 2	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar left 3	collar left 3	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar left 4	collar left 4	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar left a	collar left a	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar left b	collar left b	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar right 01	collar right 01	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar right 02	collar right 02	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar right 1	collar right 1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar right 2	collar right 2	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar right 3	collar right 3	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar right 4	collar right 4	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar right a	collar right a	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar right b	collar right b	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar.ring	Collar.Ring	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar_l1	Collar_L1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collar_r1	Collar_R1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collarfixarmsup80	CollarFixArmsUp80	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
collarfur2suitmh3	CollarFur2SuitMH3	B	Medium		referent word(s): ['collar', 'fur'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
